,0
0,지역농협이 다주택자에 대한 주택담보대출을 제한한다.
1,은행권에서 가계 대출 취급을 강화하자 농협 등 상호금융권에서 대출 신청이 증가하는 '풍선 효과'가 발생할 수 있다는 우려에 따른 조처로 볼 수 있다.
2,13일 농협중앙회에 따르면 전국 지역농협은 주택이 있는 사람이 수도권 소재 주택을 담보로 또 다른 주택 구입을 위한 대출을 받으려고 할 때 대출 취급을 중단한다.
3,앞서 지역농협에서는 다주택자가 수도권 주택을 담보로 할 때 거치 기간을 두지 않기로 하고 생활안정자금 한도를 1억원으로 제한했는데 추가로 규제를 강화한 것이다.
